"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
3015699,7.6,8,6.4,NA,NA,NA,5.5,6.25,7.25,"French"
3015716,8.2,8.25,9.8,NA,NA,NA,6.25,7.75,8.5,"French"
3015722,7.4,8,8.6,NA,NA,NA,6,6.75,8,"French"
3015733,5.8,7.75,6.6,NA,NA,NA,8.5,8.75,8.75,"French"
3015734,8.2,8.5,9.8,NA,NA,NA,6.5,8.25,9.25,"French"
3015771,8.2,9.5,9.6,NA,NA,NA,7.75,9,9.5,"French"
3015823,6.4,9.5,10,NA,NA,NA,8,8.75,9,"French"
3016033,2.2,8.25,8.6,NA,NA,NA,6.75,7.25,8.75,"French"
3016065,5.4,8.5,5.8,NA,NA,NA,7.5,7.5,8.25,"French"
3016100,6.4,7.75,10,NA,NA,NA,7.25,8.75,9,"French"
3016122,8.4,8,8,9,9,4.5,NA,NA,NA,"French"
3016123,9,9,8.8,9.5,10,7.25,NA,NA,NA,"French"
3016185,7.4,8.5,10,NA,NA,NA,6.5,7.25,8.75,"French"
3016504,8,9,9.8,NA,NA,NA,7.25,7.75,9.25,"French"
3016506,7.4,8.75,7.6,NA,NA,NA,7.25,7,8.5,"French"
3016710,6.8,8.75,8,NA,NA,NA,8,7.75,8.75,"French"
3016711,8.4,8,10,NA,NA,NA,6.5,7.5,9.75,"French"
3016929,7.8,8.75,9.8,NA,NA,NA,7.75,7.75,9,"French"
3017003,7.4,8.75,8.4,7.25,8.25,7,NA,NA,NA,"French"
3017004,7.6,9,6,NA,NA,NA,5,7.5,9.75,"French"
3017011,8.4,9.25,9.6,NA,NA,NA,7.5,7.75,9.25,"French"
3017021,8.4,8.25,9.4,NA,NA,NA,6.75,7,8.25,"French"
3017029,8.4,9.5,10,NA,NA,NA,8.75,8.25,9.25,"French"
3017070,8.4,9,9.8,NA,NA,NA,7,7.75,9.5,"French"
3017110,8.2,9.25,9.4,NA,NA,NA,7.25,7.25,8.75,"French"
3017225,8,9,9,NA,NA,NA,7.25,7.5,9.5,"French"
3017265,7.4,8.25,8.4,NA,NA,NA,4.5,5.25,7,"French"
3017303,7.2,9,10,NA,NA,NA,7.25,8,8.75,"French"
3017407,8.4,9.5,9.6,NA,NA,NA,9,9,9.25,"French"
3017414,7.8,9.5,9.4,NA,NA,NA,9.25,7.75,9.25,"French"
4007009,6.2,7.5,4.2,NA,NA,NA,7,6,10,"French"
4008260,6.6,5.5,5.8,NA,NA,NA,6.75,7.25,9,"French"
4008486,6.6,6.75,3.8,6.25,5,5,NA,NA,NA,"French"
4008538,6,7,8.6,NA,NA,NA,6.5,7,8,"French"
4008541,3.4,5,5,NA,NA,NA,5.75,7.25,9,"French"
4008542,7,6.75,4.2,NA,NA,NA,6.5,7.75,6.75,"French"
4008577,7,8.5,7.8,NA,NA,NA,7,7.5,8.5,"French"
4008646,6,7.5,4,NA,NA,NA,7.25,8.5,8.25,"French"
4008752,7.6,5.75,5,7.75,7.75,5.75,NA,NA,NA,"French"
4008755,4,8,4,NA,NA,NA,7.5,7,7.25,"French"
4008809,7.6,8,7.4,NA,NA,NA,6.5,7.5,9.25,"French"
4008813,5.6,7.25,6.4,NA,NA,NA,6,7.5,7.75,"French"
4008837,6.2,5,4.6,5.75,7.5,7.25,NA,NA,NA,"French"
4008954,6.6,9.25,9.2,NA,NA,NA,8,8.25,8.75,"French"
