"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1032136,6.8,8.75,9.4,NA,NA,NA,7,7.25,8.75,"Japanese"
1032249,7,8.25,4,NA,NA,NA,7,8,7.75,"Japanese"
1032601,8.4,7.17,3.8,3,3.75,5.5,NA,NA,NA,"Japanese"
1033495,8.4,8.5,5.8,6,6,4.5,NA,NA,NA,"Japanese"
1034687,6.4,8.75,4.6,NA,NA,NA,6.5,6.5,8.25,"Japanese"
1035718,6.2,9,10,NA,NA,NA,8.75,7.5,9,"Japanese"
1036461,8.4,7.75,7.4,7.75,8.25,6.5,NA,NA,NA,"Japanese"
1038328,7.4,6,7,5.25,5,6.25,NA,NA,NA,"Japanese"
1038703,8.2,8.5,9.6,NA,NA,NA,8.25,6.5,7.75,"Japanese"
1046269,7.4,8.25,8,NA,NA,NA,7.5,6.5,7.75,"Japanese"
1046374,7.2,8,7,NA,NA,NA,7.25,8.25,6,"Japanese"
1047339,8.4,8,6.8,7.75,8,6.75,NA,NA,NA,"Japanese"
1047927,8,8.5,6.6,NA,NA,NA,8.25,8.25,9,"Japanese"
1048875,5.6,6.5,7.6,NA,NA,NA,NA,NA,NA,"Japanese"
1049395,8.2,9,8.6,NA,NA,NA,8,7.5,8.25,"Japanese"
1051149,7.4,7.25,7.8,NA,NA,NA,7,7.5,9,"Japanese"
1051461,8.4,8.75,8.2,NA,NA,NA,NA,NA,NA,"Japanese"
1051833,5.8,8.5,6,NA,NA,NA,6.75,5.5,NA,"Japanese"
1054165,4,8,7,NA,NA,NA,7.5,8.25,8.25,"Japanese"
1055224,7.4,8.75,5,NA,NA,NA,7.75,7,9,"Japanese"
1056155,7.4,8.5,5.2,NA,NA,NA,6.75,7.5,8,"Japanese"
1056195,5,8.75,4.4,NA,NA,NA,7.75,8.75,7.75,"Japanese"
1059575,7.8,8.5,8.6,NA,NA,NA,9.25,9,9,"Japanese"
1059749,6.6,9.25,8.6,NA,NA,NA,7.25,7.25,8.25,"Japanese"
1059908,7.4,9.25,7,NA,NA,NA,7.25,7.5,9,"Japanese"
1060086,8.2,8.25,9.4,NA,NA,NA,8.25,7.5,7.75,"Japanese"
1060348,8,8.75,9.4,NA,NA,NA,7.75,7.75,8.5,"Japanese"
1061031,7.6,8.75,7.8,NA,NA,NA,6.25,7.5,7.5,"Japanese"
1061154,6.6,8.25,5.2,NA,NA,NA,5.5,6.25,7,"Japanese"
1061662,6.2,6.25,7.2,NA,NA,NA,8.75,7,8,"Japanese"
1063275,4,7.75,3.8,NA,NA,NA,6.75,7.5,7.5,"Japanese"
1066786,6.6,8,6,NA,NA,NA,7.25,8,9,"Japanese"
1070708,6.8,9,5,NA,NA,NA,8,7.25,8.75,"Japanese"
1072111,6.8,9,2.8,NA,NA,NA,7,6.5,9.25,"Japanese"
1074432,7.2,7.25,5.8,NA,NA,NA,7.75,7.5,8.5,"Japanese"
1075367,3.6,7.5,5.6,NA,NA,NA,5.75,NA,NA,"Japanese"
1075511,8,9,9.8,NA,NA,NA,8.25,8,9.25,"Japanese"
1076414,6.8,9,4.4,NA,NA,NA,7.5,6.5,7,"Japanese"
1076529,7.6,8.25,3.2,NA,NA,NA,6.5,8,8.25,"Japanese"
1077622,8.8,9.25,8.6,NA,NA,NA,7,7.5,9,"Japanese"
1079976,7.6,9,6.8,NA,NA,NA,5.75,7.25,8.5,"Japanese"
1081435,7,9,3.2,NA,NA,NA,9.5,7.5,9.5,"Japanese"
1082386,7,9,4.2,6.25,5,5.25,NA,NA,NA,"Japanese"
1083216,6.2,8.75,8,NA,NA,NA,6,7,7.75,"Japanese"
1090782,9,8.25,4.8,NA,NA,NA,8.25,7.5,9.5,"Japanese"
1091898,7,8.25,9.2,NA,NA,NA,NA,NA,NA,"Japanese"
1096525,7.2,8.5,3.6,NA,NA,NA,7.5,8,8.75,"Japanese"
1098746,6.2,8.25,8.6,NA,NA,NA,4,6,6.75,"Japanese"
1100781,7.8,7.75,2,NA,NA,NA,6.25,6.75,9,"Japanese"
1101756,7,8.5,8.6,NA,NA,NA,7.75,7,NA,"Japanese"
1102795,6.4,7,6.8,NA,NA,NA,6.5,7,9,"Japanese"
1103852,6.4,8.5,5,NA,NA,NA,7.5,8.25,8.5,"Japanese"
1104281,7,8.75,3.8,NA,NA,NA,8,8.25,9,"Japanese"
1106306,7.4,9,6.4,NA,NA,NA,8.5,6.5,8,"Japanese"
2000081,6.8,8,9.2,NA,NA,NA,6.75,7.25,8.25,"Japanese"
2000286,7.8,7.5,9.4,NA,NA,NA,6.75,6.5,7.75,"Japanese"
2000586,7.6,8,7.2,NA,NA,NA,7.75,7.25,9,"Japanese"
2000876,9,7,6.6,NA,NA,NA,7.75,8.25,8.25,"Japanese"
