"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
3025133,6.4,7,6.6,NA,NA,NA,4.25,6,7.5,"Korean"
3025138,7.6,7.75,6.8,NA,NA,NA,6,8.75,9,"Korean"
3025457,7.6,9,8.8,NA,NA,NA,7.75,8.75,9.25,"Korean"
3025516,7.8,5.75,6.6,NA,NA,NA,6.75,7,8.5,"Korean"
3025598,7.6,8.5,6.8,NA,NA,NA,6,8,8.5,"Korean"
3025634,5.6,7,4,NA,NA,NA,6,6.75,9.25,"Korean"
3025663,7.4,8,8.2,NA,NA,NA,6.75,7.75,9.5,"Korean"
3025664,6,9,7,NA,NA,NA,6,8.5,9.5,"Korean"
3025668,8,8.75,8.8,NA,NA,NA,7.75,9.5,9,"Korean"
3025671,7,7.75,8.8,NA,NA,NA,6.5,7.75,9.25,"Korean"
3025673,6,8.25,8.2,NA,NA,NA,6.5,9,9.25,"Korean"
4002732,2.2,5,2.8,NA,NA,NA,6,4.25,7.25,"Korean"
4002870,8.4,8,5.4,NA,NA,NA,9,9.25,8.25,"Korean"
4003743,7.8,5.75,6.8,8,10,5.75,NA,NA,NA,"Korean"
4005950,5.8,7,5,NA,NA,NA,6.5,7.25,8.5,"Korean"
5003222,5.6,7.5,3.4,NA,NA,NA,7.25,6.75,8.75,"Korean"
5006369,7.6,8.5,7.4,NA,NA,NA,7.5,8,9.25,"Korean"
6002497,5,7.25,8.4,NA,NA,NA,7,5.75,8.25,"Korean"
6003250,3.8,6.75,9.2,NA,NA,NA,6,5.5,8,"Korean"
6003705,7.8,8.5,3.2,NA,NA,NA,7.75,9,9.25,"Korean"
7000453,7.6,6.25,7.6,NA,NA,NA,NA,NA,NA,"Korean"
9001371,7.2,7.75,5,NA,NA,NA,8.25,8.5,8.75,"Korean"
9001722,7.8,8,8.8,NA,NA,NA,6.75,8,9.25,"Korean"
9005354,6.2,8.5,5.8,NA,NA,NA,8.25,8.75,8.75,"Korean"
10003183,3.4,7.75,4.8,NA,NA,NA,7.75,8.5,6,"Korean"
11001888,7.4,8.5,9.6,NA,NA,NA,8.5,8.75,9.5,"Korean"
12001355,6.8,8.5,4.2,NA,NA,NA,8,8.25,8.5,"Korean"
12001470,5.6,8,4,NA,NA,NA,5,6.25,7.5,"Korean"
12001553,7.6,7.75,3.6,NA,NA,NA,6.25,7.25,9,"Korean"
12004212,5.6,7.5,3.4,NA,NA,NA,7.5,7.75,8,"Korean"
12005689,7.4,7.75,3.8,NA,NA,NA,6.25,6.75,9.25,"Korean"
12006549,7.6,6.5,4.4,NA,NA,NA,4.5,6.25,8.5,"Korean"
12006674,6.8,8.5,5,NA,NA,NA,8,7,8.25,"Korean"
12006798,5.8,8.75,6.8,NA,NA,NA,8.75,8.5,8.5,"Korean"
12007179,7.4,8.5,3.6,NA,NA,NA,8.75,8.25,9.25,"Korean"
12007380,7.4,8.75,3,NA,NA,NA,6.75,7.75,9,"Korean"
13000194,7.8,6.5,8.6,7,7,4.75,NA,NA,NA,"Korean"
14009622,7.2,8.5,8.8,NA,NA,NA,8.75,8.75,8.75,"Korean"
15000738,7.4,9.25,5.4,NA,NA,NA,7,6.75,8,"Korean"
